排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
40,第一轮优先,跨大领域老药新用,Dasabuvir Sodium,感染性疾病,Infectious Disease,DDR2,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.24219808324096,0.3523357,1,0.4059199444403396,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
41,第一轮优先,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,MMP14,前列腺癌,prostate cancer,实体瘤,77.22790866187418,0.46698534,5,0.3008263464536673,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
42,第一轮优先,跨大领域老药新用,Avibactam Sodium,感染性疾病,Infectious Disease,SLC22A12,痛风,gout,肾脏,77.13934347764062,0.31498727,51,0.7899231501173613,转运体摄取/外排,低,PubMed pair审计未见明确报道,0,0,否,否
43,第一轮优先,跨大领域老药新用,Doravirine,未知,,EZH2,乳腺癌,breast cancer,实体瘤,77.12117383375575,0.46058482,16,0.1760243955743292,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
44,第一轮优先,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,MALT1,乳腺癌,breast carcinoma,实体瘤,77.08499554356675,0.40451086,29,0.2907180182325965,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
45,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.9183604,3,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,18,16,是,是
46,第一轮优先,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.71761274,1,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,7,7,是,是
47,第一轮优先,同领域同靶点家族扩展,Afatinib Dimaleate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.5916499,5,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,1,1,是,是
48,第一轮优先,跨大领域老药新用,Nevirapine,感染性疾病,Infectious Disease,KCNN4,乳腺癌,breast cancer,实体瘤,76.90269837636052,0.64107674,3,0.2623421500604675,离子通道功能,low,PubMed pair审计未见明确报道,0,0,否,否
49,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,ITK,前列腺癌,prostate cancer,实体瘤,76.67696979766215,0.463059,5,0.106705916933133,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
50,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,76.4770094714397,0.56070846,26,0.6434226431750978,酶/表观遗传生化,low,上市后文献有新靶点线索,1,1,是,是
51,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK2,骨髓增殖性肿瘤,myeloproliferative neoplasm,实体瘤,76.30351678053488,0.36753774,40,0.2882261739496983,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,否,否
52,第一轮优先,跨大领域老药新用,Palonosetron Hydrochloride,肿瘤,Oncology,SLC6A1,精神分裂症,schizophrenia,神经/精神,76.29476397441098,0.8031629,12,0.2797672877515993,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,否,否
53,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,75.8755057242704,0.8601657,8,0.7055780321897952,激酶生化/细胞,medium,上市后文献有新靶点线索,9,9,是,是
54,第一轮优先,同领域新靶点/新病种探索,Selpercatinib,肿瘤,Oncology,MEN1,乳腺癌,breast carcinoma,实体瘤,75.79125206402318,0.6118933,7,0.3018334250676967,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,是,否
