model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
all_inactive_consensus,fixed112_frozen_evidence,CEFJVGZHQAGLHS-UHFFFAOYSA-N__CHEMBL2085,CEFJVGZHQAGLHS-UHFFFAOYSA-N,ripretinib,MIF,CHEMBL2085,0.83481425,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CEFJVGZHQAGLHS-UHFFFAOYSA-N__CHEMBL215,CEFJVGZHQAGLHS-UHFFFAOYSA-N,ripretinib,ALOX5,CHEMBL215,0.90976804,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CEFJVGZHQAGLHS-UHFFFAOYSA-N__CHEMBL2722,CEFJVGZHQAGLHS-UHFFFAOYSA-N,ripretinib,CYP11B2,CHEMBL2722,0.8961199,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,COUYJEVMBVSIHV-SFHVURJKSA-N__CHEMBL2007,COUYJEVMBVSIHV-SFHVURJKSA-N,olodaterol,PDGFRA,CHEMBL2007,0.82448125,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,COUYJEVMBVSIHV-SFHVURJKSA-N__CHEMBL2821,COUYJEVMBVSIHV-SFHVURJKSA-N,olodaterol,F12,CHEMBL2821,0.7910568,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL2039,CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,MAOB,CHEMBL2039,0.51122934,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL205,CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,CA2,CHEMBL205,0.8345488,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL2722,CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,CYP11B2,CHEMBL2722,0.8929558,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,CYQFCXCEBYINGO-IAGOWNOFSA-N__CHEMBL5141,CYQFCXCEBYINGO-IAGOWNOFSA-N,dronabinol,CYP26A1,CHEMBL5141,0.59352195,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DBEPLOCGEIEOCV-WSBQPABSSA-N__CHEMBL1844,DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,CSF1R,CHEMBL1844,0.8448958,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DDLIGBOFAVUZHB-UHFFFAOYSA-N__CHEMBL4245,DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,ESRRG,CHEMBL4245,0.64470506,False,False,False,False,False
