panel,scope,direction,model,seed,ap,auroc,reciprocal_rank,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,queries,queries_at_20
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,20260921,0.7598087910193723,0.5742386047776824,0.801655827319055,0.7062146892655368,0.053359602666838604,0.7062146892655368,0.7254237288135593,0.23403695305688876,0.7442573111000732,0.7135593220338983,0.4284750503928381,0.772359633896472,0.7899999999999999,0.5050468124809026,0.8268527175893825,177,120
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,20260922,0.7547896105997063,0.5975360949643499,0.7810232062350707,0.672316384180791,0.04537671223543384,0.672316384180791,0.7163841807909604,0.2220599786631259,0.7245099218977995,0.7180790960451977,0.4342118446500527,0.764193145819078,0.7925,0.5173241854477721,0.8220734912863346,177,120
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,20260923,0.7674353009187913,0.5995124380989414,0.8304239092125433,0.7457627118644068,0.06040027788765381,0.7457627118644068,0.7265536723163841,0.2342540256394355,0.7589684243588076,0.715819209039548,0.43605543909528766,0.7844878325337418,0.7899999999999999,0.5039817560217325,0.8262493339655762,177,120
ACTIVITY_EC50,all,target_to_drug,old_production,0,0.7609267247075328,0.612182739511738,0.8159608543789335,0.7231638418079096,0.04969890728205531,0.7231638418079096,0.7175141242937854,0.2528538010486857,0.7474817058462152,0.7112994350282487,0.4497851081348357,0.778338549358262,0.7795833333333333,0.5013721298048022,0.8175761250921885,177,120
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,20260921,0.8958333333333333,0.975,0.875,0.75,0.75,0.75,0.25,1.0,0.9233566009043177,0.125,1.0,0.9233566009043177,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,20260922,1.0,1.0,1.0,1.0,0.875,1.0,0.25,1.0,1.0,0.125,1.0,1.0,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,20260923,0.9375,0.975,1.0,1.0,0.875,1.0,0.25,1.0,0.9693038288345124,0.125,1.0,0.9693038288345124,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260921,0.33641774891774895,0.49270833333333336,0.3334415584415585,0.25,0.25,0.25,0.05,0.25,0.25,0.07500000000000001,0.625,0.3733618059765935,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260922,0.09924970862470862,0.2847222222222222,0.0940413752913753,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.048356600904317704,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260923,0.11919642857142856,0.321875,0.12098214285714286,0.0,0.0,0.0,0.05,0.125,0.06601703064314772,0.07500000000000001,0.5,0.1893788366197412,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,old_production,0,0.39217171717171717,0.6541666666666667,0.38383838383838387,0.25,0.25,0.25,0.15000000000000002,0.5,0.38594282728800633,0.1,0.75,0.46120032620400164,,,,4,0
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,20260921,0.8465684830498681,0.8050386226579096,0.8845536287732819,0.8208092485549133,0.05948702237735707,0.8208092485549133,0.8289017341040463,0.3093382354438342,0.8576437432712568,0.7872832369942195,0.5104135069436911,0.8724607878888665,0.8530172413793103,0.5648712716226278,0.9127216762830013,173,116
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,20260922,0.8518301463715141,0.7983468153613831,0.9071151280911174,0.8497109826589595,0.07083977749147025,0.8497109826589595,0.823121387283237,0.294723193539472,0.8649454930208714,0.7797687861271677,0.4966829780546552,0.8750596337648645,0.8547413793103449,0.5555377615029053,0.9146038063205909,173,116
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,20260923,0.8401764706797465,0.7799556042344782,0.8787434627030003,0.8208092485549133,0.06659471193010745,0.8208092485549133,0.8092485549132948,0.27728898006109726,0.8388726212296684,0.7791907514450868,0.4958356568722196,0.8608921744316447,0.8573275862068965,0.5628793373134029,0.9151395618126328,173,116
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,20260921,0.7534292148934167,0.5662423570885938,0.7970698348871257,0.6994219653179191,0.04879495101964733,0.6994219653179191,0.7213872832369942,0.2329198519575605,0.7366055426853401,0.7121387283236994,0.43383436563223776,0.765922832447683,0.7866379310344828,0.5123455085313274,0.8265952576993022,173,116
