direction,query,pairs,positive,negative,random_ap,random_p5
target_to_drug,SEQ:87744367b800f3cc95c3a6d293b833f1eb880275dbff337dd1b2025d071efdaf,34,12,22,0.4140825488322634,0.35294117647058826
target_to_drug,SEQ:877c911a64a0d6f25df898fa51ecf86ab80b71a77618a2ac8311bbb6ec17d746,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:88555a84c4118f20e778a3d47999537e19f9b068685bead8229317a09867f549,109,97,12,0.8942641627820113,0.8899082568807339
target_to_drug,SEQ:894ca3145394441ab931b4a319c911599a387e083eb6c2a438e32593cd7fa437,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:8977888f113d1f375634cfa39b0d8f17baa1f9c513ab8a9f7b56fcc44021a03f,28,6,22,0.29946794028738105,0.21428571428571427
target_to_drug,SEQ:8aae9e0b614e2e32ca485cb4a2ced538ac438b841d95e606d6a497c4924e9c5e,22,3,19,0.24702478734659788,0.13636363636363635
target_to_drug,SEQ:8b7a8edddb69416ef14cd328ec590a08f5affebe3c6ccb14251b90c93ce224e7,19,1,18,0.18672313984966749,0.05263157894736842
target_to_drug,SEQ:8bb8e760c142b1a44ba1409375e34de5c0836b1b5e77ec6fac96a7a9d07d121f,331,296,35,0.895983974502234,0.8942598187311178
target_to_drug,SEQ:8c250a7cb49dc01160749bf1243fd2ac9f511dce4d2d365659a10f56fb09442d,22,2,20,0.2073945129964188,0.09090909090909091
target_to_drug,SEQ:8c2b6e1477ff21093d6bdee1a4482a36b1024aaebbd4e968c54262742cefd3e0,500,454,46,0.9090680155422027,0.908
target_to_drug,SEQ:8caecf83dffab0bac6b72623e6a7428c5a8cc791b0858bcc7f1f4bc67a8bed5b,33,25,8,0.7809757441343905,0.7575757575757576
target_to_drug,SEQ:8cf7ac731c31e2b6a6f1e239a4eb72e5fdc74cbf4b78e6e632c88ee776a35da0,23,2,21,0.20043502318739853,0.08695652173913043
target_to_drug,SEQ:8d50b8f6cbd845496d8ea7f022f33178c159d7405ea5354b1ba34cb82fbb6df5,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:8e243e32883cfc5ef70c61b40fccb9f5c9241e4ff31f0797437cd643f82d9740,27,24,3,0.9012455416805644,0.8888888888888888
target_to_drug,SEQ:8f2c7bcd0d3ebdf09697276c6c945cff040b5d15cd1396686b64749f71e3e9b0,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:8f2e0977834e932b19f9a7b8f8e5b9ed6eb97c7c2aaedddbead55aa8e21898bc,14,13,1,0.9409426501459469,0.9285714285714286
target_to_drug,SEQ:90075634f6e58f794e31bf42343ef834835c81871f3ddca6fb99a05750b8c507,102,100,2,0.9812089074799665,0.9803921568627451
target_to_drug,SEQ:90397a156f87a91b9bb1e01e97437e9f353b3b37025d48c3c0efdf77fe4ccaf8,24,2,22,0.19396934766408902,0.08333333333333333
target_to_drug,SEQ:90bedea8f8b5a918879942dda61819c4fa8485814432d431f429f3abc7edff1e,32,13,19,0.464830049106143,0.40625
target_to_drug,SEQ:91082450fdd6c22035f2d7fa453321b61cb92b0b4b2c28b8eb63f4cc67fa56e4,20,10,10,0.5683615699248338,0.5
target_to_drug,SEQ:9112bbed27c42f31d518060045f8f075e25408811ec7af9d1b9bb91c91cbd1d2,76,57,19,0.763048378417633,0.75
target_to_drug,SEQ:920d53f2ba8db9ed226d6430fe54f562849c9cd1a5c72a52e854cc4e3bc78348,23,4,19,0.27658406859812246,0.17391304347826086
target_to_drug,SEQ:921eaccadd68e998941925968250223dc2f70b43287e08f93d524f03e9929f43,18,1,17,0.19417267101090632,0.05555555555555555
target_to_drug,SEQ:9283e9c3163756a2b09e7f5854a8c8a58ea5b7d62b2cf5e474269174e04d6d52,22,5,17,0.326285336046956,0.22727272727272727
target_to_drug,SEQ:92962676f214e5a64a684dcb0daea96f595b5c4ccf2e8db1315ae9d36623e43b,61,25,36,0.4461927592351609,0.4098360655737705
target_to_drug,SEQ:9413c76d3d6f9cfc34a43bc74828513c034ad5064f7dd447b8b2b6ab48e234f6,142,134,8,0.9454746018245953,0.9436619718309859
target_to_drug,SEQ:944327688ddc36d8b989373bb6a0330e71536f5f04ee5c813d3ea54643da9293,50,47,3,0.9442847412306075,0.94
target_to_drug,SEQ:945340616bafd8d32b4cdb5a4f6a1f13ee9de829fd7daccf5f63fc94149d6b34,332,304,28,0.9170344334915427,0.9156626506024096
target_to_drug,SEQ:946738194771d8903ea1de39783f6bebe496fb1b4c6d06255e560ee6678d0676,27,3,24,0.20996433344451562,0.1111111111111111
target_to_drug,SEQ:94f997e8d7d44225d61d08b97659620e755c3a48269a7711847ad349a9125830,40,15,25,0.4275407538291086,0.375
target_to_drug,SEQ:96a4d83a02900a0cba9954d64106f1a532b0209e0d2b86d205a98bd847335682,23,16,7,0.7334783410624661,0.6956521739130435
target_to_drug,SEQ:96c4d951e20582e46053835575bdb356be93720f0ff0d45553c7744b489310d9,34,11,23,0.3874499374155481,0.3235294117647059
target_to_drug,SEQ:9777b390daeddca2aa6c9052607145f49b8f48a6fc39ca40b0fab62cd153d314,25,14,11,0.611625899925481,0.56
target_to_drug,SEQ:9796e4a195066b95cb46d4fbb869f06afddbe3672b9e1f789fa4e3e5c9560e0c,29,11,18,0.44496276891202835,0.3793103448275862
target_to_drug,SEQ:9800e73d5db87c78c7b5350307ddf15012927fada0dd1e50787a7b179a0908ce,121,119,2,0.9840739852272953,0.9834710743801653
target_to_drug,SEQ:987e15538f0f1ab2fdac22de66091cf0a704c2a7eae4e9af9419d590682c51d7,281,261,20,0.9301518425618439,0.9288256227758007
target_to_drug,SEQ:99ba03877f7508cb6e5c6c667227b31a6284a53578b8194c95af101ff88a3248,11,3,8,0.41962744326380685,0.2727272727272727
target_to_drug,SEQ:9a06387610edd099466d614941c42a433f444feb6a8f25375bb0b6ad8ec9c6f4,12,8,4,0.7304003235821417,0.6666666666666666
target_to_drug,SEQ:9a0b636052d7bfbc9f8a5dc7fc8a2030c65e938473ac234df2c8550a0d071815,20,17,3,0.8705084709774501,0.85
target_to_drug,SEQ:9a2657fa53c2073146e48e443489559cdbfc220b161c20897cb3ba8a6b9c2fd6,141,125,16,0.8901961641037364,0.8865248226950354
target_to_drug,SEQ:9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5,56,40,16,0.733046594050822,0.7142857142857143
target_to_drug,SEQ:9b0eb1971d60d339b3cd6fe79a7b096dc07ae2e03f87daad1da22e8ea2253416,242,200,42,0.8300961071211614,0.8264462809917356
target_to_drug,SEQ:9b4d7f141ae58580813aa6b030f67b51efc5af3076f4df2cb5b0dbc27f0c7810,203,191,12,0.9423185531900473,0.9408866995073891
target_to_drug,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,13,5,8,0.49641711564788493,0.38461538461538464
target_to_drug,SEQ:9c4089da85ef3c06dde2c14def7afc4a2e1452947ca9abf34025f90a101db770,23,16,7,0.7334783410624661,0.6956521739130435
target_to_drug,SEQ:9c460ab6f0bcc7a29316b8bdc516f57dce9c95014bf582097d7026045d9a6738,23,3,20,0.23850954589276047,0.13043478260869565
target_to_drug,SEQ:9c4ba426b4bb5839d7f3e266bb7de61f0d4ebb64f816e7be4618bda801832772,22,1,21,0.16776423864623977,0.045454545454545456
target_to_drug,SEQ:9cafdd1d4fb1ce363ba504e4ee78ddcdbcfe638f9358e8d7a6b043956c7c8871,25,3,22,0.22325179985096189,0.12
target_to_drug,SEQ:9d7c09e39a68cce1de0ca98909ddcf23cd3c3d699234d5b7b01317a13a663af3,12,10,2,0.865200161791071,0.8333333333333334
target_to_drug,SEQ:9e21948aa58101512bd339f5962097e4769b003691f8a5220f5cf6b91da45c65,21,1,20,0.17358850975060613,0.047619047619047616
