pair_id,drug_names,gene_symbol,raw_activity_rows,raw_high_confidence_direct_target_annotation,novelty_reaudit_status
QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1856,articaine,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JBKPUQTUERUYQE-UHFFFAOYSA-O__CHEMBL1871,pralidoxime,AR,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
KAQKFAOMNZTLHT-OZUDYXHBSA-N__CHEMBL2971,epoprostenol,JAK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,glasdegib,FLT3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL3973,tedizolid,FGFR4,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL4393,bempedoic acid,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,amantadine,GBA1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL1856,solifenacin,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,memantine,AR,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,PIK3CA,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL206,brexanolone,ESR1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,quetiapine,ESRRG,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,bupivacaine,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
