pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL258,sonidegib,LCK,CHEMBL258,0.90680104,True,True,False
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL4179,sonidegib,MAPK9,CHEMBL4179,0.9057572,False,False,False
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL5145,sonidegib,BRAF,CHEMBL5145,0.9161703,False,False,False
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,vorinostat,ECE1,CHEMBL4791,0.77092147,True,True,False
WDENQIQQYWYTPO-IBGZPJMESA-N__CHEMBL1902,acalabrutinib,FKBP1A,CHEMBL1902,0.92259693,False,False,False
WDENQIQQYWYTPO-IBGZPJMESA-N__CHEMBL202,acalabrutinib,DHFR,CHEMBL202,0.89698106,False,False,False
WDENQIQQYWYTPO-IBGZPJMESA-N__CHEMBL2189110,acalabrutinib,EZH2,CHEMBL2189110,0.88063306,False,False,False
WDENQIQQYWYTPO-IBGZPJMESA-N__CHEMBL3267,acalabrutinib,PIK3CG,CHEMBL3267,0.90616715,False,False,False
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL205,avanafil,CA2,CHEMBL205,0.7257513,False,False,False
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL2243,avanafil,FAAH,CHEMBL2243,0.8380818,False,False,False
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL2722,avanafil,CYP11B2,CHEMBL2722,0.92036414,False,False,False
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1808,glimepiride,ACE,CHEMBL1808,0.7954656,False,False,False
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,glimepiride,MME,CHEMBL1944,0.87169254,True,True,False
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3242,glimepiride,CA12,CHEMBL3242,0.89002126,False,False,False
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,glimepiride,CA4,CHEMBL3729,0.8784056,True,True,False
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL1902,ivosidenib,FKBP1A,CHEMBL1902,0.922376,False,False,False
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL2243,ivosidenib,FAAH,CHEMBL2243,0.85735136,False,False,False
WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5705,landiolol,EGLN3,CHEMBL5705,0.8944368,False,False,False
WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL1871,upadacitinib,AR,CHEMBL1871,0.8439261,False,False,False
WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL1994,upadacitinib,NR3C2,CHEMBL1994,0.90774,False,False,False
WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,upadacitinib,PRKCB,CHEMBL3045,0.8766255,True,True,False
WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3535,upadacitinib,PDE9A,CHEMBL3535,0.94394886,False,False,False
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1994,lasmiditan,NR3C2,CHEMBL1994,0.8254293,False,False,False
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL2039,lasmiditan,MAOB,CHEMBL2039,0.70570016,False,False,False
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL2850,lasmiditan,GSK3A,CHEMBL2850,0.8332794,False,False,False
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2,CHEMBL4898,0.8508263,True,True,False
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL1974,betrixaban,FLT3,CHEMBL1974,0.8337147,False,False,False
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL2148,betrixaban,JAK3,CHEMBL2148,0.7823171,False,False,False
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3535,betrixaban,PDE9A,CHEMBL3535,0.85276514,False,False,False
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,betrixaban,F7,CHEMBL3991,0.8728907,True,True,False
XMXHEBAFVSFQEX-UHFFFAOYSA-N__CHEMBL2039,iloperidone,MAOB,CHEMBL2039,0.60451466,False,False,False
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL2148,ozenoxacin,JAK3,CHEMBL2148,0.8631048,False,False,False
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL2243,ozenoxacin,FAAH,CHEMBL2243,0.8666086,False,False,False
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3045,ozenoxacin,PRKCB,CHEMBL3045,0.8370668,False,False,False
XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2,CHEMBL3553,0.8158083,True,True,False
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2041,ozanimod,RET,CHEMBL2041,0.85347503,False,True,False
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2815,ozanimod,NTRK1,CHEMBL2815,0.8744289,False,False,False
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL3045,ozanimod,PRKCB,CHEMBL3045,0.8896885,True,True,False
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL5366,ozanimod,PARP2,CHEMBL5366,0.907033,False,False,False
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL1994,baricitinib,NR3C2,CHEMBL1994,0.9248467,False,False,False
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL286,baricitinib,REN,CHEMBL286,0.86219656,False,False,False
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3535,baricitinib,PDE9A,CHEMBL3535,0.938563,False,False,False
XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL4393,baricitinib,MMP12,CHEMBL4393,0.9110387,False,False,False
XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,hydroxychloroquine,CTSC,CHEMBL2252,0.75202036,True,True,False
