drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1200798,Trazodone Hydrochloride,CHEMBL1200798,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200799,Travoprost,CHEMBL1200799,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,Cardiovascular,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200803,Solifenacin Succinate,CHEMBL1200803,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200805,Diltiazem Hydrochloride,CHEMBL1200805,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Cardiovascular,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200809,Azelastine Hydrochrloride,CHEMBL1200809,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,Immunology/Inflammation,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200809__AZELASTINE_HYDROCHLORIDE,Azelastine Hydrochloride,CHEMBL1200809,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,Immunology/Inflammation,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200810,Doxercalciferol,CHEMBL1200810,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Endocrinology/Metabolic,Injection,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200819,Articaine Hydrochloride,CHEMBL1200819,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,Anesthesia/Pain,Injection,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200820,Piperacillin Sodium,CHEMBL1200820,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200832,Terbinafine Hydrochloride,CHEMBL1200832,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200850,Ganciclovir,CHEMBL1200850,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,Infectious Disease,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200865,Loteprednol Etabonate,CHEMBL1200865,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Endocrinology/Metabolic,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200873,Phentolamine Mesylate,CHEMBL1200873,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,Oncology,Injection,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200881,Minocycline Hydrochloride,CHEMBL1200881,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200904,Selegiline,CHEMBL1200904,C#CCN(C)[C@H](C)Cc1ccccc1,Neurology/Psychiatry,Transdermal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200908,Halobetasol Propionate,CHEMBL1200908,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Endocrinology/Metabolic,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200940,Metoclopramide Hydrochloride,CHEMBL1200940,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200963,Bimatoprost,CHEMBL1200963,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,Cardiovascular,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200969,Dutasteride,CHEMBL1200969,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201014,Prednisolone Acetate,CHEMBL1201014,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201014__PREDNISOLONE_SODIUM_PHOSPHATE,Prednisolone Sodium Phosphate,CHEMBL1201014,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201027,Glycopyrronium Tosylate,CHEMBL1201027,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,Neurology/Psychiatry,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201032,Rizatriptan Benzoate,CHEMBL1201032,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201037,Eflornithine Hydrochloride,CHEMBL1201037,NCCCC(N)(C(=O)O)C(F)F,Other,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201057,Cilastatin Sodium,CHEMBL1201057,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,Cardiovascular,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201061,Levalbuterol Tartrate,CHEMBL1201061,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,Respiratory,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201066,Venlafaxine Hydrochloride,CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201082,Fluoxetine Hydrochloride,CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201101,Testosterone Cypionate,CHEMBL1201101,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,Oncology,Intramuscular,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
