drug_id,name,smiles,native_feature_index,gene_symbol,dtiam_probability,dtiam_rank
WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,63677,SLC8A1,0.8385444,79
FDBYIYFVSAHJLY-UHFFFAOYSA-N,resmetirom,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,37575,SLC8A1,0.8355334,80
LMMJFBMMJUMSJS-UHFFFAOYSA-N,avutometinib,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,107679,SLC8A1,0.83529353,81
MBBCVAKAJPKAKM-UHFFFAOYSA-N,lomitapide,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,268912,SLC8A1,0.8351533,82
DWRIJNIPBUFCQS-DQEYMECFSA-N,elinzanetant,Cc1cc(F)ccc1-c1cc(N2C[C@H]3COCCN3C[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,186997,SLC8A1,0.8347412,83
SUJUHGSWHZTSEU-FYBSXPHGSA-N,tipranavir,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,60824,SLC8A1,0.83301395,84
KSGXQBZTULBEEQ-UHFFFAOYSA-N,dabigatran etexilate,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,55459,SLC8A1,0.83207417,85
PNCPYILNMDWPEY-QGZVFWFLSA-N,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,171410,SLC8A1,0.8309555,86
FIDLLEYNNRGVFR-CTNGQTDRSA-N,baloxavir marboxil,O=C1c2c(O)c(=O)ccn2N([C@@H]2c3ccccc3SCc3c2ccc(F)c3F)[C@@H]2COCCN12,294865,SLC8A1,0.82926154,87
LOMMPXLFBTZENJ-ZACQAIPSSA-N,belzutifan,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,163278,SLC8A1,0.82297885,88
RJCWBNBKOKFWNY-IDPLTSGASA-N,omaveloxolone,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,43799,SLC8A1,0.8226815,89
PDGKHKMBHVFCMG-UHFFFAOYSA-N,trilaciclib,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,100746,SLC8A1,0.8213637,90
AXQACEQYCPKDMV-RZAWKFBISA-N,naldemedine,CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,26529,SLC8A1,0.82078445,91
GYHCTFXIZSNGJT-UHFFFAOYSA-N,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,204766,SLC8A1,0.81932765,92
FPOHNWQLNRZRFC-ZHACJKMWSA-N,panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,177649,SLC8A1,0.8165717,93
MJUVRTYWUMPBTR-MRXNPFEDSA-N,tezacaftor,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,26238,SLC8A1,0.81644124,94
DKULOVKANLVDEA-UHFFFAOYSA-N,aprocitentan,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,248793,SLC8A1,0.81518775,95
BZZKEPGENYLQSC-UHFFFAOYSA-N,deucravacitinib,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,105870,SLC8A1,0.8130377,96
DUYJMQONPNNFPI-UHFFFAOYSA-N,osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,9160,SLC8A1,0.8099035,97
FIVSJYGQAIEMOC-ZGNKEGEESA-N,rolapitant,C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,166664,SLC8A1,0.8097156,98
PUKBOVABABRILL-YZNIXAGQSA-N,avacopan,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,197325,SLC8A1,0.8096115,99
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,167398,SLC8A1,0.8073617,100
MVGWUTBTXDYMND-QGZVFWFLSA-N,etrasimod,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,283591,SLC8A1,0.8069145,101
GJPICJJJRGTNOD-UHFFFAOYSA-N,bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,156338,SLC8A1,0.800479,102
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,18267,SLC8A1,0.8000232,103
KXNPVXPOPUZYGB-IOVMHBDKSA-N,argatroban,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,48655,SLC8A1,0.79962265,104
JYTNQNCOQXFQPK-MRXNPFEDSA-N,suvorexant,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,193724,SLC8A1,0.7994126,105
VGYFMXBACGZSIL-MCBHFWOFSA-N,pitavastatin,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,283498,SLC8A1,0.79795873,106
HGVDHZBSSITLCT-JLJPHGGASA-N,edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,101626,SLC8A1,0.79757506,107
YBSJFWOBGCMAKL-UHFFFAOYSA-N,dabigatran etexilate,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,220269,SLC8A1,0.79662526,108
IIXWYSCJSQVBQM-LLVKDONJSA-N,lorlatinib,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,174992,SLC8A1,0.7941811,109
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,delgocitinib,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,173925,SLC8A1,0.7933098,110
KGFYHTZWPPHNLQ-AWEZNQCLSA-N,rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,271031,SLC8A1,0.7920152,111
YALNUENQHAQXEA-UHFFFAOYSA-N,givinostat,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,64085,SLC8A1,0.789624,112
QXWZQTURMXZVHJ-UHFFFAOYSA-N,selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,32697,SLC8A1,0.78928125,113
