drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
BTBHLEZXCOBLCY-QGZVFWFLSA-N,finerenone,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,75572,000056,existing_independent_ETKDG,baf96cfa58e18ea66110bf662466fccb049be46ab79b7b020642ad4923f9ee34
BTCRKOKVYTVOLU-SJSRKZJXSA-N,bexagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,303979,000057,existing_independent_ETKDG,8df9a4e300af868b0e5a0ae831ff01c60447dc7ff8dbb7c9a2f022787f68762f
BUGYDGFZZOZRHP-UHFFFAOYSA-N,memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2,46497,000058,existing_independent_ETKDG,aa82cdc396dcbc5bd41b3af35d5a69930a3da802a75683f61fd6a93a52803281
BYBLEWFAAKGYCD-UHFFFAOYSA-N,miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,218130,000059,existing_independent_ETKDG,4863831502e513250f79022821f9525ff7eae5611f9194659bace5339c8c31db
BZZKEPGENYLQSC-FIBGUPNXSA-N,deucravacitinib,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,306546,000060,existing_independent_ETKDG,6892f6082afa76a7eb92f9179b6456e219cab353873dc092eee146a1f304a984
BZZKEPGENYLQSC-UHFFFAOYSA-N,deucravacitinib,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,105870,000061,existing_independent_ETKDG,e6f2e9831c77db9264944b003638c051a87e0212a2c07079d1b10b1e129413d5
CAVRKWRKTNINFF-UHFFFAOYSA-N,tradipitant,O=C(c1ccccc1Cl)c1cccnc1-c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1,288812,000062,existing_independent_ETKDG,389aeb56fef576dfcd4c79f99644c79afed75884e286a8681171689da37d6292
CBRJPFGIXUFMTM-WDEREUQCSA-N,ritlecitinib,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,8016,000063,existing_independent_ETKDG,c017e3b24083c71cef5e3c86ff0fb61bb7006185b5fb8bc3203fb04137c55b87
CEFJVGZHQAGLHS-UHFFFAOYSA-N,ripretinib,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,85299,000064,existing_independent_ETKDG,0d46c0410f447df15f18ead8bd1e49a587457590d34fdf4b96cab6ee9dabbcbd
CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole;aripiprazole lauroxil,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,290964,000065,existing_independent_ETKDG,77c6614aab13d13eb3d3f75fdfc48683c113c6af2884673caf4e14caba008d98
CGIGDMFJXJATDK-UHFFFAOYSA-N,indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,150070,000066,existing_independent_ETKDG,0aa4acfb9d910be57a6c9998a9b726b793a4149bb46510d8be420430daea3fb7
