drug_id,molecular_weight,logp,tpsa,heavy_atoms
HVFLCNVBZFFHBT-ZKDACBOMSA-N,480.5720000000003,-1.2798999999999958,150.04000000000002,32
HWGQMRYQVZSGDQ-HZPDHXFCSA-N,380.35800000000006,2.6285000000000007,88.49000000000001,28
HWXVIOGONBBTBY-ONEGZZNKSA-N,472.58900000000017,4.466800000000004,67.68,35
HYAFETHFCAUJAY-UHFFFAOYSA-N,356.44700000000006,3.159600000000001,68.28999999999999,25
HYHMLYSLQUKXKP-UHFFFAOYSA-N,344.492,4.469900000000003,94.83,24
HZIYEEMJNBKMJH-UHFFFAOYSA-N,688.6060000000004,5.736620000000006,106.03,47
IAKHMKGGTNLKSZ-INIZCTEOSA-N,399.4430000000002,2.871600000000001,83.09,29
IAVUPMFITXYVAF-XPUUQOCRSA-N,324.44900000000007,0.612,106.32999999999998,19
IDUYJRXRDSPPRC-NRFANRHFSA-N,527.4000000000002,4.6342000000000025,85.95,37
IEAKXXNRGSLYTQ-DEOSSOPVSA-N,483.05200000000025,7.517460000000006,25.360000000000003,33
IFSDAJWBUCMOAH-HNNXBMFYSA-N,415.43200000000013,3.7543000000000015,101.38000000000002,31
IIXWYSCJSQVBQM-LLVKDONJSA-N,406.4210000000001,2.8006800000000016,110.06,30
IKENVDNFQMCRTR-UHFFFAOYSA-N,498.58600000000024,6.507320000000005,78.09,38
IKKXOSBHLYMWAE-QRPMWFLTSA-N,293.258,-0.8083000000000005,119.31,21
IMOZEMNVLZVGJZ-QGZVFWFLSA-N,460.5080000000002,2.4342000000000006,119.08,32
INJOMKTZOLKMBF-UHFFFAOYSA-N,246.097,1.5455700000000003,78.97,15
IOOWNWLVCOUUEX-WPRPVWTQSA-N,297.141,0.4487999999999997,95.86000000000001,20
IPOKCKJONYRRHP-FMQUCBEESA-N,357.3220000000001,2.7103,148.65,26
IPVQLZZIHOAWMC-QXKUPLGCSA-N,368.47400000000016,1.940599999999999,95.94000000000001,26
IQFYYKKMVGJFEH-CSMHCCOUSA-N,242.23099999999997,-1.5142799999999992,104.54999999999998,17
IQIBKLWBVJPOQO-UHFFFAOYSA-N,323.41700000000003,3.953000000000003,50.19,23
IQPSEEYGBUAQFF-UHFFFAOYSA-N,383.37600000000003,2.8843000000000005,92.32000000000001,26
