matrix,view,direction,model_a,model_b,queries,valid_correlations,minimum_candidates,maximum_candidates,median_spearman,mean_spearman,mean_kendall_tau_b,mean_top10_overlap,random_top10_overlap,top10_overlap_ratio_to_random
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,ConPLex,DTIAM_A,23,23,719,719,0.03541619638037549,0.029256886318431128,0.022598558475302323,0.5652173913043478,0.13908205841446453,4.06391304347826
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,ConPLex,DrugCLIP,23,23,719,719,0.040373545058598005,0.05036138797158844,0.035705355126953955,0.30434782608695654,0.13908205841446453,2.1882608695652177
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,ConPLex,Nesso-1,23,23,719,719,0.12998325739092514,0.1078707998728874,0.07275423673341995,0.7391304347826086,0.13908205841446453,5.314347826086957
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,ConPLex,ProbeMatchDTI,23,23,719,719,-0.08762301974942663,-0.05349114878666384,-0.035501657957417915,0.2450592885375494,0.13908205841446453,1.7619762845849802
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DTIAM_A,DTBind_occurrence,23,23,719,719,-0.023106721208385656,-0.0049228583475952655,-0.0037038174737054896,0.13043478260869565,0.13908205841446453,0.9378260869565218
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DTIAM_A,Nesso-1,23,23,719,719,-0.11271793105992681,-0.03695754058155254,-0.025601952889560818,0.6086956521739131,0.13908205841446453,4.376521739130435
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DTIAM_A,ProbeMatchDTI,23,23,719,719,0.1802155447636564,0.1531685124655944,0.10454139310383562,0.6231884057971014,0.13908205841446453,4.48072463768116
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DrugCLIP,DTBind_occurrence,23,23,719,719,-0.049864326381699915,0.022137944415255666,0.014915243064496054,0.17391304347826086,0.13908205841446453,1.2504347826086957
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DrugCLIP,DTIAM_A,23,23,719,719,0.004092025033901069,0.040388343954634004,0.02687202805758035,0.21739130434782608,0.13908205841446453,1.5630434782608695
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DrugCLIP,Nesso-1,23,23,719,719,0.06348014432507751,0.08776595983604815,0.05906717493295611,0.5217391304347826,0.13908205841446453,3.7513043478260872
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,DrugCLIP,ProbeMatchDTI,23,23,719,719,0.03732429106246037,0.03308887072006326,0.02199282350453434,0.25691699604743085,0.13908205841446453,1.8472332015810278
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,Nesso-1,DTBind_occurrence,23,23,719,719,0.28441794825640343,0.24922509642956472,0.1696945576290662,0.6521739130434783,0.13908205841446453,4.689130434782609
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,Nesso-1,ProbeMatchDTI,23,23,719,719,0.06792976937172877,-0.021993953926213738,-0.015246276531828487,0.5349143610013175,0.13908205841446453,3.846034255599473
PRIMARY_720X96,ALL_SIX_COMMON,target_to_drug,ProbeMatchDTI,DTBind_occurrence,23,23,719,719,0.20349536668342427,0.12482081522975985,0.08436277670085027,0.16996047430830039,0.13908205841446453,1.2220158102766798
PRIMARY_720X96,PAIRWISE_COMMON,drug_to_target,ConPLex,DTBind_occurrence,720,720,73,73,-0.025573193829030838,-0.02661893870773168,-0.01916052216263146,1.6603459870443567,1.36986301369863,1.2120525705423804
PRIMARY_720X96,PAIRWISE_COMMON,drug_to_target,ConPLex,DTIAM_A,720,720,96,96,0.12909231479570382,0.12384082675083993,0.08869009480556332,1.9582631257631258,1.0416666666666667,1.8799326007326007
PRIMARY_720X96,PAIRWISE_COMMON,drug_to_target,ConPLex,DrugCLIP,720,720,95,95,0.06025027162145142,0.05960289825725048,0.04175022089500456,1.3786935286935287,1.0526315789473684,1.3097588522588524
PRIMARY_720X96,PAIRWISE_COMMON,drug_to_target,ConPLex,Nesso-1,719,719,30,37,0.2645221596852934,0.23934436171044288,0.17077356517240744,4.3767094956994645,3.317163150408183,1.3194133954975662
