pair_id,biomaster,drugclip,dtiam,conplex
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3267,-13.056092,-0.22501075,0.89549834,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3629,-8.698886,-0.28014573,0.71632415,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3778,-15.064958,-0.20470177,0.8958488,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3973,-1.7319301,0.2651886,0.95332885,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4005,-13.2052965,0.06632691,0.888897,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4142,-2.0201313,0.24655174,0.9307888,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL4247,-2.8414557,0.10737278,0.8239413,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL5311,-12.159264,0.15646575,0.9506575,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL5568,-0.15543805,-0.14868294,0.92441505,0.09533176
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL5838,-8.448285,-0.030136952,0.9130476,0.0
CXOXHMZGEKVPMT-UHFFFAOYSA-N__CHEMBL4523510,-10.774978,-0.044965137,0.49354887,0.0
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL220,-9.220126,0.34432375,0.47994125,0.00085981877
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL2243,-6.487681,-0.2596702,0.42403522,0.0
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL3535,-4.2854834,0.29480207,0.48124194,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1163124,-15.185674,0.11761329,0.5424463,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1824,-10.546455,-0.13414524,0.5153296,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1844,-15.81579,0.04275888,0.49673092,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1868,-11.326519,-0.12910444,0.5181573,9.796546e-05
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1908389,-15.932151,-0.03356115,0.53053534,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1936,-13.391528,0.015669819,0.42661542,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL1991,-16.302528,0.10722334,0.56508094,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2007,-11.595706,-0.27080533,0.5405172,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2063,-13.783676,-0.09388112,0.75378597,0.017469618
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2527,-15.202231,0.002447461,0.74879026,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2534,-15.010397,-0.10420678,0.42451254,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2742,-8.7258005,-0.08520424,0.5656019,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL279,-8.524173,-0.10676193,0.32345155,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2842,-14.863057,-0.15757798,0.21128243,0.007204127
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2872,-14.599817,-0.03825758,0.5321558,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2873,-14.119618,-0.18582708,0.55648255,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2959,-14.561658,-0.05549912,0.6233832,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3009,-11.003783,0.19543846,0.45099744,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3130,-13.940311,-0.020485306,0.5184536,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3145,-13.032077,0.17664762,0.5186354,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3267,-13.767212,0.38221,0.39291874,0.0006839274
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3587,5.705835,-0.13822381,0.9349362,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3629,-10.883467,0.3582624,0.709143,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3935,-15.824521,-0.052652717,0.74604946,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3973,-13.418532,-0.024576217,0.57758284,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4005,-12.789525,-0.090594105,0.39470017,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4128,-14.492182,-0.0944319,0.65823275,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4142,-6.082382,0.080373354,0.45382756,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4247,-14.061725,-0.12876643,0.37033668,0.0027125778
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4501,-15.577772,0.033646565,0.6365038,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4895,-13.252213,0.06261893,0.33536628,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL4898,-13.052724,-0.2757733,0.49775076,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL5311,-15.421992,-0.077242605,0.48649126,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL5331,-14.0251465,-0.21701755,0.30070937,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL5568,-15.59253,-0.011425759,0.5822523,0.009999447
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL5608,-11.981854,-0.15756385,0.55494905,0.0
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL5838,-12.1592045,0.16500051,0.519212,0.0
DBABZHXKTCFAPX-UHFFFAOYSA-N__CHEMBL1641347,-13.425527,0.13899504,0.09852186,0.30274227
DBABZHXKTCFAPX-UHFFFAOYSA-N__CHEMBL1641348,-13.753079,-0.0782126,0.09156338,0.22843629
DBABZHXKTCFAPX-UHFFFAOYSA-N__CHEMBL205,7.503141,-0.10136574,0.42953292,0.24905689
DBABZHXKTCFAPX-UHFFFAOYSA-N__CHEMBL261,0.7562442,0.0060110777,0.2441318,0.25309592
DCOPUUMXTXDBNB-UHFFFAOYSA-N__CHEMBL202,-5.122463,0.08249945,0.14226584,0.0
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,-13.969941,0.1201387,0.79956245,0.0
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,-7.655383,0.12717159,0.92646587,0.17344552
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,-15.002317,-0.04944853,0.28585014,0.08151565
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,-13.866701,-0.10947093,0.444776,0.0
DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,-7.767721,-0.10359034,0.21739581,0.0006382818
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,-11.048029,-0.08949739,0.7710996,0.0
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,-0.6188614,0.07667527,0.80256456,0.0
DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,-2.644444,-0.013752046,0.3094375,0.09358242
DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL1641348,-16.1076,0.11697785,0.09845306,0.09713021
DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,-9.172256,0.032897193,0.03533297,0.00039389817
DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073,-12.298334,0.045798123,0.25987533,0.015974304
DMNOVGJWPASQDL-OAQYLSRUSA-N__CHEMBL1908,-4.631387,0.23339291,0.75546664,0.0
