scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL2085,dtiam_historical,dtiam,719,0.5602152537370682,3,3.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL2326,dtiam_historical,dtiam,719,0.3541726053527005,5,5.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL261,dtiam_historical,dtiam,719,0.32213597730482585,3,3.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL3474,dtiam_historical,dtiam,719,0.5490259258139462,3,3.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL4073,dtiam_historical,dtiam,719,0.48821509373456035,2,2.0,0.13908205841446453
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075094,dtiam,biomaster,720,-0.036083373978643314,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075094,dtiam,drugclip,720,0.10937240750767055,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075094,dtiam,conplex,720,0.07834139479663539,1,1.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075094,dtiam,probematch,720,-0.104205151712747,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075126,dtiam,biomaster,720,-0.10556333989517719,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075126,dtiam,drugclip,720,0.17659691941411762,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075126,dtiam,conplex,720,0.11606650954242236,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075126,dtiam,probematch,720,-0.11863398419118192,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075319,dtiam,biomaster,720,0.06734454494181467,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075319,dtiam,drugclip,720,0.022657967521459123,0,0.0,0.1388888888888889
