scope,query,entity,model,n,prevalence,ap
COMMON_378,target_id,CHEMBL1936,dtiam,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1936,conplex,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1936,nesso,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1936,probematch,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL1936,dtbind,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL1936,dtiam_historical,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1936,nesso_pic50,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1974,biomaster,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1974,drugclip,3,0.6666666666666666,0.8333333333333333
COMMON_378,target_id,CHEMBL1974,dtiam,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL1974,conplex,3,0.6666666666666666,0.8333333333333333
COMMON_378,target_id,CHEMBL1974,nesso,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1974,probematch,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1974,dtbind,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL1974,dtiam_historical,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1974,nesso_pic50,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1991,biomaster,13,0.15384615384615385,0.7
COMMON_378,target_id,CHEMBL1991,drugclip,13,0.15384615384615385,1.0
COMMON_378,target_id,CHEMBL1991,dtiam,13,0.15384615384615385,1.0
COMMON_378,target_id,CHEMBL1991,conplex,13,0.15384615384615385,0.15384615384615385
COMMON_378,target_id,CHEMBL1991,nesso,13,0.15384615384615385,1.0
COMMON_378,target_id,CHEMBL1991,probematch,13,0.15384615384615385,0.45
COMMON_378,target_id,CHEMBL1991,dtbind,13,0.15384615384615385,0.1736111111111111
COMMON_378,target_id,CHEMBL1991,dtiam_historical,13,0.15384615384615385,0.19444444444444442
COMMON_378,target_id,CHEMBL1991,nesso_pic50,13,0.15384615384615385,1.0
COMMON_378,target_id,CHEMBL2007,biomaster,5,0.4,1.0
COMMON_378,target_id,CHEMBL2007,drugclip,5,0.4,0.8333333333333333
COMMON_378,target_id,CHEMBL2007,dtiam,5,0.4,1.0
COMMON_378,target_id,CHEMBL2007,conplex,5,0.4,1.0
COMMON_378,target_id,CHEMBL2007,nesso,5,0.4,0.8333333333333333
COMMON_378,target_id,CHEMBL2007,probematch,5,0.4,0.3666666666666667
COMMON_378,target_id,CHEMBL2007,dtbind,5,0.4,0.75
COMMON_378,target_id,CHEMBL2007,dtiam_historical,5,0.4,1.0
COMMON_378,target_id,CHEMBL2007,nesso_pic50,5,0.4,1.0
COMMON_378,target_id,CHEMBL203,biomaster,5,0.6,1.0
COMMON_378,target_id,CHEMBL203,drugclip,5,0.6,0.8055555555555556
COMMON_378,target_id,CHEMBL203,dtiam,5,0.6,1.0
COMMON_378,target_id,CHEMBL203,conplex,5,0.6,0.9166666666666665
COMMON_378,target_id,CHEMBL203,nesso,5,0.6,1.0
COMMON_378,target_id,CHEMBL203,probematch,5,0.6,1.0
COMMON_378,target_id,CHEMBL203,dtbind,5,0.6,0.6388888888888888
COMMON_378,target_id,CHEMBL203,dtiam_historical,5,0.6,0.9166666666666665
COMMON_378,target_id,CHEMBL203,nesso_pic50,5,0.6,1.0
COMMON_378,target_id,CHEMBL205,biomaster,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL205,drugclip,7,0.5714285714285714,0.6428571428571428
COMMON_378,target_id,CHEMBL205,dtiam,7,0.5714285714285714,0.95
COMMON_378,target_id,CHEMBL205,conplex,7,0.5714285714285714,0.8928571428571428
COMMON_378,target_id,CHEMBL205,nesso,7,0.5714285714285714,0.9166666666666666
COMMON_378,target_id,CHEMBL205,probematch,7,0.5714285714285714,0.8928571428571428
COMMON_378,target_id,CHEMBL205,dtbind,7,0.5714285714285714,0.7470238095238095
COMMON_378,target_id,CHEMBL205,dtiam_historical,7,0.5714285714285714,0.7928571428571428
COMMON_378,target_id,CHEMBL205,nesso_pic50,7,0.5714285714285714,0.8928571428571428
COMMON_378,target_id,CHEMBL220,biomaster,3,0.6666666666666666,0.8333333333333333
COMMON_378,target_id,CHEMBL220,drugclip,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL220,dtiam,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL220,conplex,3,0.6666666666666666,0.8333333333333333
COMMON_378,target_id,CHEMBL220,nesso,3,0.6666666666666666,0.8333333333333333
COMMON_378,target_id,CHEMBL220,probematch,3,0.6666666666666666,0.5833333333333333
COMMON_378,target_id,CHEMBL220,dtbind,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL220,dtiam_historical,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL220,nesso_pic50,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL222,biomaster,6,0.5,0.9166666666666665
COMMON_378,target_id,CHEMBL222,drugclip,6,0.5,0.8666666666666667
COMMON_378,target_id,CHEMBL222,dtiam,6,0.5,0.9166666666666665
COMMON_378,target_id,CHEMBL222,conplex,6,0.5,0.6388888888888888
COMMON_378,target_id,CHEMBL222,nesso,6,0.5,0.8055555555555556
COMMON_378,target_id,CHEMBL222,probematch,6,0.5,0.6666666666666667
COMMON_378,target_id,CHEMBL222,dtbind,6,0.5,0.9166666666666665
