排序,小分子药物名称,新靶点名称,pair_id,neural_score,positive_neighbor,target_prior,nearest_training_positive,A_neural_rank384,A_plus_neighbor_rank384,A_plus_prior_rank384,A_joint_blend_rank384
89,vaborbactam,MME — Neprilysin,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,6.1875,0.2,0.9316856232889728,CZDSEQUNZGMJPF-MJBXVCDLSA-N,154,54,98,33
90,memantine,NR3C2 — Mineralocorticoid receptor,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,-2.3046875,0.1,0.8542348888484506,ZAINQQRFGATLID-UHFFFAOYSA-N,208,162,191,108
91,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,-4.5,0.14754099,0.1753649885465932,NPTOZJLCWXEGKK-UHFFFAOYSA-N,114,140,147,185
92,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,-0.91015625,0.24468085,0.508445911175428,UEPXBTCUIIGYCY-UHFFFAOYSA-N,60,29,63,31
93,desoximetasone,PRKCB — Protein kinase C beta type,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,-1.015625,0.1495327,0.4783281859824406,RQAUDZGXNVMFPI-IBVHVPERSA-N,245,191,243,180
94,nimodipine,CA12 — Carbonic anhydrase 12,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,10.15625,0.3116883,0.924914425261217,GBCKRVFSRNVEOF-UHFFFAOYSA-N,23,5,10,5
95,thalidomide,CDK9 — Cyclin-dependent kinase 9,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,-9.5,0.18571429,0.1252797724059731,BIIVYFLTOXDAOV-YVEFUNNKSA-N,224,155,306,207
96,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,-11.21875,0.19767442,0.7016888079778739,DOKFTMCJGVGNMI-UHFFFAOYSA-N,178,96,101,73
97,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,-7.234375,0.16964285,0.7574110554847884,LYRPKBQNNKHMEZ-UHFFFAOYSA-N,99,66,81,51
98,ixabepilone,PRKCB — Protein kinase C beta type,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,11.875,0.2090909,0.4783281859824406,GATHEZHZWJUEJE-JSGCOSHPSA-N,7,1,18,1
99,lumateperone,ACHE — Acetylcholinesterase,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,-2.6953125,0.31506848,0.5437312017423109,ANTKBACNWQHQJE-UHFFFAOYSA-N,339,169,332,120
100,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,-7.671875,0.23943663,0.11323157963488875,HVEXJKQESNIDLM-KRWDZBQOSA-N,219,100,261,138
101,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,-0.3935547,0.22772278,0.8778739402102038,SNPLAOHHBAWLMU-UHFFFAOYSA-N,109,39,86,25
102,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,12.34375,0.22115384,0.8999972248201182,OVQGEUKUVQYWAZ-UHFFFAOYSA-N,5,5,4,5
103,arformoterol,MMP12 — Macrophage metalloelastase,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,1.2617188,0.22666667,0.891881269806106,BLXHYKZAZZIQOC-ZDUSSCGKSA-N,66,39,43,26
104,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,-10.65625,0.2112676,0.9197828775980786,KMWBCGYYQBQMCP-UHFFFAOYSA-N,338,211,292,156
