arm,panel,scope,pairs,positive,negative,auroc_mean,auroc_sd,ap_mean,ap_sd,brier_mean,brier_sd,top1pct_precision_mean,top1pct_precision_sd,top5pct_precision_mean,top5pct_precision_sd,false_positive_rate_mean,false_positive_rate_sd,precision_mean,precision_sd,recall_mean,recall_sd
kdki_inactive,ACTIVITY_IC50,all,85704,65173,20531,0.6918522810271054,0.006023308716128115,0.8592487988545535,0.004597071819844621,0.2152398787409333,0.0037500856660615824,0.8818958818958819,0.05110072484628322,0.9027842588271894,0.016198931502413427,0.5041806698813177,0.020711651534716137,0.830317518569445,0.0034391292735913965,0.7769526235301939,0.013770869904644377
kdki_inactive,ACTIVITY_IC50,document_disjoint,995,509,486,0.688689326013782,0.014078049460506139,0.712021836408046,0.013245965770784867,0.26368327816607745,0.009077949927971639,0.9,0.09999999999999998,0.8666666666666667,0.04163331998932269,0.45198902606310004,0.019007416269617317,0.6245455662637996,0.005751304953166473,0.7177472167648986,0.023684533490537153
kdki_inactive,ACTIVITY_IC50,targets_both_arms,79864,61668,18196,0.6892648311623372,0.009027962452322066,0.8652649966273794,0.005343203640351952,0.2101462165239519,0.0042039833229798335,0.8831873174801835,0.050689648051961786,0.9048572859288934,0.01650960593073065,0.5218363010185388,0.023367081207954745,0.8364352716152886,0.0043351341585429835,0.7871127110765173,0.012596558437542468
kdki_inactive,ACTIVITY_IC50,targets_neither,26,10,16,0.5364583333333334,0.09069681062933435,0.47301154943031376,0.11428856724241922,0.34915016030648643,0.09852899481262352,0.3333333333333333,0.5773502691896258,0.5,0.5,0.4791666666666667,0.1301041249666333,0.41647241647241645,0.07208540695318708,0.5333333333333333,0.05773502691896257
kdki_inactive,ACTIVITY_IC50,targets_only_all,5814,3495,2319,0.6521072116206174,0.02479522911423906,0.7160466702882301,0.027309108200842994,0.28461011815894205,0.019154662757907105,0.8192090395480225,0.0869762955838455,0.7823596792668958,0.06111945737436011,0.365818599971252,0.027020466013632446,0.7112068893585319,0.02141118610895029,0.5983786361468765,0.03851234445824618
kdki_inactive,AFFINITY_KD_KI,all,34327,23190,11137,0.8873616943414472,0.007631586729448431,0.9356757986146437,0.006472262793659975,0.1293987336563564,0.0029743392300229927,0.9844961240310078,0.014339775762547167,0.9854397204426325,0.01010445636161771,0.3879261321121786,0.03483678127045142,0.8330180481031112,0.011644795405883458,0.9283168032197787,0.006874460363477821
kdki_inactive,AFFINITY_KD_KI,document_disjoint,503,331,172,0.8686503196796179,0.019095489788310948,0.9113117883297411,0.02809000189838952,0.1382582727634618,0.005477354068138353,0.9444444444444445,0.0962250448649376,0.9487179487179488,0.05875097044815182,0.34883720930232553,0.07144305655490996,0.8311119126077239,0.028589112165952894,0.8872104733131922,0.009229759707866731
kdki_inactive,AFFINITY_KD_KI,targets_both_arms,33205,22416,10789,0.8988344207791586,0.009402844565471137,0.9405490813040629,0.007410419017829819,0.12147266330607882,0.003894968118210983,0.9849849849849849,0.01589039826465226,0.9853501906482038,0.010792157061809124,0.38591775573886977,0.033142222456559706,0.8359052349755779,0.011374010689704095,0.9452920532952652,0.00360669134742652
kdki_inactive,AFFINITY_KD_KI,targets_neither,870,599,271,0.4833198832823052,0.01568637269352378,0.6791020315656947,0.01573524082448783,0.3684408064393379,0.05321191216057357,0.48148148148148145,0.23129622216290363,0.6515151515151515,0.05248638810814775,0.46002460024600245,0.0938121277523658,0.6723315551710881,0.01638453064228859,0.4312743461324429,0.11452874964018393
kdki_inactive,AFFINITY_KD_KI,targets_only_all,252,175,77,0.5373036487322201,0.006170311966267252,0.7359147095830938,0.0005994502435180983,0.34852001405227845,0.045444001319699064,1.0,0.0,0.8205128205128206,0.08882311833686557,0.41558441558441556,0.0723086280887016,0.7137227876731694,0.0176758455523569,0.4552380952380952,0.07235588538370508
kdki_inactive,ALL_ENDPOINT_UNION,all,132331,93249,39082,0.7422987263283479,0.009141629084090238,0.8568375121912969,0.008493333199277704,0.2028138938613894,0.0038248386436859527,0.913645518630413,0.046524290140244715,0.9244874313636592,0.02442651298854556,0.46211384610135947,0.02818427327651154,0.8062812120574527,0.0072802639696718345,0.805545725244596,0.01391508185330147
kdki_inactive,ALL_ENDPOINT_UNION,document_disjoint,4371,942,3429,0.7006482941696454,0.031363032484744285,0.36141193518250586,0.05530565565092756,0.31765791936555615,0.009709658725421238,0.5984848484848485,0.14787288860562983,0.4337899543378995,0.15254148939260337,0.48362010304267516,0.03738368709398318,0.31004098919714823,0.014242599593702462,0.789101203113942,0.013814027810292378
kdki_inactive,ALL_ENDPOINT_UNION,targets_both_arms,124429,88447,35982,0.7467299433934258,0.011263026756315036,0.8622531135891996,0.009214376367464135,0.19725241487963116,0.004172392286260881,0.9151271753681393,0.048288615091629114,0.9249973213329047,0.024707186591705198,0.47021658977636965,0.03001390525201283,0.8105420786168009,0.008051751583322837,0.8178004906893394,0.012202319375192361
kdki_inactive,ALL_ENDPOINT_UNION,targets_neither,895,608,287,0.48806180848462616,0.023490388933860063,0.6706899321350385,0.021556546907221714,0.3664939712090601,0.054578716686059035,0.4444444444444445,0.1924500897298753,0.6222222222222222,0.0587944735792131,0.45528455284552843,0.08076812381283952,0.6653082372213013,0.020184535359273864,0.43311403508771934,0.11447573223616639
kdki_inactive,ALL_ENDPOINT_UNION,targets_only_all,7007,4194,2813,0.6586978825234228,0.022160974630681656,0.7154831383816229,0.018924956407584313,0.28066684077091336,0.01812676484203024,0.8075117370892019,0.04527535568541294,0.7663817663817664,0.04108890342409106,0.3591657779357744,0.022473003559233477,0.7137267451601922,0.016132402958880025,0.6010968049594659,0.0374245572879989
