drug_id,target_id,drug_name,gene,biomaster,biomaster_reverse,drugclip,dtiam,conplex,dtbind,nesso,probematch,biomaster_forward,nesso_pic50,biomaster_rank,drugclip_rank,dtiam_rank,conplex_rank,nesso_rank,probematch_rank,dtbind_rank,nesso_pic50_rank
COUYJEVMBVSIHV-SFHVURJKSA-N,CHEMBL1871,olodaterol,AR,-10.046095,-10.046095,0.26642781,0.3688809,0.27064595,0.99483323097229,0.1664467006921768,0.99029141664505,-9.032882,5.622357368469238,491.0,150.0,418.0,63.0,287.0,250.0,193.0,396.0
CPZBLNMUGSZIPR-NVXWUHKLSA-N,CHEMBL1871,palonosetron,AR,-9.842599,-9.842599,-0.051596772,0.5401846,0.15408444,0.0956222862005233,0.0407395511865615,0.0498233847320079,-9.188656,5.412124276161194,474.0,527.0,260.0,123.0,572.0,596.0,477.0,503.0
CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL1871,tecovirimat,AR,-4.360567,-4.360567,-0.10069392,0.7442023,0.25269902,0.9999364614486694,0.1537627875804901,0.921899914741516,-4.238635,5.733872056007385,173.0,587.0,100.0,67.0,303.0,364.0,10.0,331.0
CSOBIBXVIYAXFM-BYNJWEBRSA-N,CHEMBL1871,ensifentrine,AR,-5.486591,-5.486591,-0.044219404,0.61961156,0.022318764,0.2758178114891052,0.3385773301124573,0.9925436973571776,-5.251782,6.087279133498669,237.0,513.0,192.0,373.0,190.0,239.0,415.0,190.0
CTRLABGOLIVAIY-UHFFFAOYSA-N,CHEMBL1871,oxcarbazepine,AR,-5.084435,-5.084435,0.00707103,0.27052602,0.026592266,0.0063538453541696,0.0652136355638504,0.3147702515125274,-4.7905045,5.238066911697388,214.0,442.0,516.0,359.0,470.0,515.0,611.0,581.0
CUHVIMMYOGQXCV-NSHDSACASA-N,CHEMBL1871,dexmedetomidine,AR,-8.171464,-8.171464,0.16469498,0.51808906,0.0,0.4357052147388458,0.1516390293836593,0.6812596321105957,-7.508227,5.750240355730057,379.0,247.0,280.0,620.0,307.0,458.0,376.0,322.0
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1871,pazopanib,AR,-8.603946,-8.603946,0.15056624,0.87917626,0.0,0.0019493808504194,0.9167850613594056,0.8805125951766968,-10.774361,7.073684930801392,403.0,259.0,16.0,620.0,31.0,388.0,658.0,23.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1871,quizartinib,AR,-9.839349,-9.839349,-0.19963078,0.7282085,0.0,0.0254326313734054,0.0801631584763526,0.9946501851081848,-10.482772,5.689325541257858,471.0,677.0,109.0,620.0,435.0,222.0,547.0,355.0
CXOFVDLJLONNDW-UHFFFAOYSA-N,CHEMBL1871,fosphenytoin,AR,-5.717418,-5.717418,0.033936117,0.1606532,0.012062041,0.1270660012960434,0.0297315251082181,0.1346033662557602,-5.3180676,5.040390491485596,248.0,406.0,664.0,418.0,604.0,563.0,462.0,643.0
CXOXHMZGEKVPMT-UHFFFAOYSA-N,CHEMBL1871,clobazam,AR,-4.4453044,-4.4453044,0.055250745,0.28263247,0.04954883,0.9240698218345642,0.2405336797237396,0.0039312578737735,-4.3780513,5.4293917417526245,176.0,368.0,499.0,304.0,234.0,655.0,274.0,491.0
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,CHEMBL1871,remimazolam,AR,-6.1413746,-6.1413746,0.0019252375,0.25413948,0.0,0.9996496438980104,0.5259431004524231,0.9846003651618958,-5.867558,6.191465616226196,269.0,448.0,538.0,620.0,135.0,271.0,112.0,155.0
CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL1871,selumetinib,AR,-14.222983,-14.222983,0.002088579,0.61530066,0.0,0.5298840999603271,0.8048098087310791,0.9999998807907104,-15.241337,7.15493643283844,693.0,447.0,203.0,620.0,77.0,13.5,358.0,18.0
CYQFCXCEBYINGO-IAGOWNOFSA-N,CHEMBL1871,dronabinol,AR,-6.655768,-6.655768,0.426222,0.23481703,0.47889698,0.9997658133506776,0.1167831420898437,0.9975964426994324,-6.331906,5.848398983478546,298.0,56.0,562.0,23.0,355.0,177.0,96.0,281.0
CZFFBEXEKNGXKS-UHFFFAOYSA-N,CHEMBL1871,raltegravir,AR,-10.492162,-10.492162,-0.10264513,0.20995112,0.124408066,0.3519139587879181,0.0613104440271854,0.9979279041290284,-8.935096,5.462574481964111,517.0,590.0,595.0,154.0,483.0,162.0,399.0,471.0
CZGVOBIGEBDYTP-VSGBNLITSA-N,CHEMBL1871,linerixibat,AR,-16.335436,-16.335436,0.21349752,0.8104002,0.018979345,0.9996689558029176,0.1338406503200531,0.9854807257652284,-15.407749,5.909017100930214,717.0,201.0,54.0,384.0,330.0,269.0,110.0,260.0
DBABZHXKTCFAPX-UHFFFAOYSA-N,CHEMBL1871,probenecid,AR,-7.7337837,-7.7337837,0.33794507,0.30997112,0.0,0.998207688331604,0.587863564491272,4.865484697802458e-06,-7.2844677,5.485320091247559,357.0,94.0,476.0,620.0,126.0,711.0,168.0,459.0
DBEPLOCGEIEOCV-WSBQPABSSA-N,CHEMBL1871,finasteride,AR,0.3947363,0.3947363,0.34173986,0.62327623,0.70904833,0.9982670545578004,0.8597557544708252,0.9975959658622742,0.2129615,6.871042490005493,45.0,91.0,189.0,10.0,60.0,178.0,164.0,41.0
DBGIVFWFUFKIQN-UHFFFAOYSA-N,CHEMBL1871,fenfluramine,AR,-5.0912294,-5.0912294,0.051940236,0.36422634,0.09878143,0.0180099382996559,0.0507824942469596,0.9984410405158995,-4.932699,5.49285501241684,215.0,371.0,421.0,208.0,525.0,149.0,569.0,457.0
DCCSDBARQIPTGU-HSZRJFAPSA-N,CHEMBL1871,fesoterodine,AR,-3.5086863,-3.5086863,0.36276314,0.4103684,0.002934402,0.0028072604909539,0.4788873195648193,0.999537467956543,-3.5534544,5.742253631353378,134.0,80.0,373.0,472.0,147.0,108.0,644.0,327.0
DCOPUUMXTXDBNB-UHFFFAOYSA-N,CHEMBL1871,diclofenac,AR,-4.9107947,-4.9107947,0.25544044,0.2550554,0.0,0.756440281867981,0.0504031367599964,0.7902961373329163,-4.8284655,4.843158006668091,199.0,162.0,537.0,620.0,527.0,426.0,324.0,689.0
