ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
HDACQVRGBOVJII-JBDAPHQKSA-N,CHEMBL1808,True,EXACT_MODEL_SPECIES,CHEMBL1168,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
HEVHTYMYEMEBPX-HZPDHXFCSA-N,CHEMBL5568,True,EXACT_MODEL_SPECIES,CHEMBL4650989,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,True
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL2148,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594382,INHIBITOR,Tyrosine-protein kinase JAK3 inhibitor,True
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL2835,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1795071;CHEMBL4594382,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,True
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL2971,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1795071;CHEMBL4594382,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL3553,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594382,INHIBITOR,Tyrosine-protein kinase TYK2 inhibitor,True
HGVDHZBSSITLCT-JLJPHGGASA-N,CHEMBL244,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105682,INHIBITOR,Coagulation factor X inhibitor,True
HHZIURLSWUIHRB-UHFFFAOYSA-N,CHEMBL1862,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201740,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
HJBWBFZLDZWPHF-UHFFFAOYSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL3183409,ANTAGONIST,Androgen Receptor antagonist,True
HKDLNTKNLJPAIY-WKWWZUSTSA-N,CHEMBL208,True,EXACT_MODEL_SPECIES,CHEMBL2103846,MODULATOR,Progesterone receptor modulator,True
