family,arm,variant,seed,panel,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,all_inactive,native,20260923,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.9405811299137256,0.9711705002280254,0.08259906684040971,0.9260521984481542,0.9220414374341567,0.18424135910954892,0.49381855292289106,0.6712829959818783,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9941471571906354,1.3914336367234494
DTIAM,all_inactive,native,20260923,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9612951673551757,0.9865615660528959,0.06379685520332097,0.9455608555162333,0.9429058045509644,0.17232477716623643,0.49381855292289106,0.7262642209918394,858,1.0,1.3150230923848834,4286,0.9995333644423705,1.3144094558508725,8571,0.9990666199976665,1.3137956761278446
DTIAM,all_inactive,native,20260923,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9175617596252994,0.958922973207273,0.1084566906440602,0.8610276808182482,0.9147908581285037,0.30744365628086556,0.49381855292289106,0.6910191892055203,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9985435479172735,1.4780941944526196
DTIAM,all_inactive,native,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9481887916461217,0.977085019585497,0.08077781426729315,0.9100745723058927,0.9344443372046886,0.22030602323320198,0.49381855292289106,0.6981013787640126,1324,1.0,1.4191144140955934,6617,0.9993954964485416,1.4182565543923469,13234,0.9991688076167448,1.4179348570036294
DTIAM,all_inactive,native,20260923,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.21453818023972165,0.0,,0.31805803361818014,0.49381855292289106,0.38028466818662765,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,query,20260923,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.9373265991451221,0.9695525237572109,0.08471358489717248,0.9310636242907159,0.902727379140817,0.16725248974809606,0.5555960039439655,0.6699165296347038,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9941471571906354,1.3914336367234494
DTIAM,all_inactive,query,20260923,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9581229477020536,0.9852092610040427,0.06638652939931257,0.9511531749650196,0.928298528531754,0.1513321318981053,0.5555960039439655,0.7216387356376137,858,1.0,1.3150230923848834,4286,0.9993000466635558,1.3141026375838674,8571,0.9984832574962081,1.3130285409671953
DTIAM,all_inactive,query,20260923,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9168280945500477,0.9587575529306267,0.10876525128166543,0.8805589771906723,0.8939629150495904,0.25249169435215946,0.5555960039439655,0.6848429761314987,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.9982522575007282,1.477663011782126
DTIAM,all_inactive,query,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9456100595345065,0.9757945805175798,0.08288308938872674,0.9209226763639493,0.9179401387682442,0.18806611739419682,0.5555960039439655,0.6940037307855453,1324,1.0,1.4191144140955934,6617,0.9996977482242708,1.4186854842439702,13234,0.9984131781774218,1.4168625323745714
DTIAM,all_inactive,query,20260923,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.21484932199621928,0.0,,0.26838200770025356,0.5555960039439655,0.38449286576260966,107,0.0,,533,0.0,,1065,0.0,
