family,arm,variant,seed,panel,stratum,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,kdki_inactive,native,20260923,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.7057154293960091,0.3646870158530079,0.17383041357908952,0.34221980413492925,0.32949188056574125,0.1520754716981132,0.5232230668975973,0.2842265182948241,99,0.8282828282828283,4.27765343323227,493,0.4949290060851927,2.5560529444703586,986,0.38742393509127787,2.0008447229255677
DTIAM,kdki_inactive,native,20260923,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9410472375801517,0.98997569222892,0.055853474628477374,0.9465883540586427,0.969362341995207,0.36523376215877,0.5232230668975973,0.8582808370974288,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,1.0,1.1497580000939804
DTIAM,kdki_inactive,native,20260923,EXPLICIT_INACTIVE,all,10649,0,10649,0.0,,,,0.12904721225985774,0.0,,0.1643346793126115,0.5232230668975973,0.2618328262813501,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,native,20260923,EXPLICIT_INACTIVE,no_A_training_positive_reference,817,0,817,0.0,,,,0.024505864293952077,0.0,,0.017135862913096694,0.5232230668975973,0.09272327072750722,9,0.0,,41,0.0,,82,0.0,
DTIAM,kdki_inactive,native,20260923,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.11385633343839124,0.0,,0.1406446211804102,0.5232230668975973,0.24342332279499407,96,0.0,,478,0.0,,956,0.0,
DTIAM,kdki_inactive,native,20260923,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.2618596898608952,0.0,,0.37145471180237877,0.5232230668975973,0.4227854477960967,11,0.0,,55,0.0,,110,0.0,
DTIAM,kdki_inactive,query,20260923,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9441488466414005,0.9740837833451435,0.08973743306102565,0.8995810587787229,0.9166882276843467,0.213073538654934,0.5232230668975973,0.693407660616091,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.9997087095834547,1.4798189251345948
DTIAM,kdki_inactive,query,20260923,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.7617969791529322,0.651310883754669,0.2518316044005058,0.7065868263473054,0.13817330210772832,0.043789097408400354,0.5232230668975973,0.21904753538320929,20,0.85,1.963758782201405,99,0.6767676767676768,1.5635393750147848,198,0.7121212121212122,1.6452168050528706
DTIAM,kdki_inactive,query,20260923,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.7057154293960091,0.3646870158530079,0.17383041357908952,0.34221980413492925,0.32949188056574125,0.1520754716981132,0.5232230668975973,0.2842265182948241,99,0.8282828282828283,4.27765343323227,493,0.4949290060851927,2.5560529444703586,986,0.38742393509127787,2.0008447229255677
DTIAM,kdki_inactive,query,20260923,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9410472375801517,0.98997569222892,0.055853474628477374,0.9465883540586427,0.969362341995207,0.36523376215877,0.5232230668975973,0.8582808370974288,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,1.0,1.1497580000939804
