endpoint_group,slice,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
Kd_Ki,REFRESH_COVERED,SPR_current,independent_validation_rank_score,1369,344,1025,149,167,0.2512783053323594,0.7609954622802041,0.6142285519841035,2.444415371122784,0.8608110509970924,30,172,45,0.7926267281105991,0.5,201,104,0.659016393442623,0.5843023255813954,250,271,0.4798464491362764,0.7267441860465116
Kd_Ki,REFRESH_COVERED,contract_primary,biomaster_independent_borda_score,1369,344,1025,149,167,0.2512783053323594,0.8529410096426547,0.7274103848298076,2.8948395838139724,0.8376203574392231,30,176,31,0.8502415458937198,0.5116279069767442,210,80,0.7241379310344828,0.6104651162790697,251,181,0.5810185185185185,0.7296511627906976
Kd_Ki,REFRESH_COVERED,neural_full_fit,ensemble_drug_to_target_logit,1369,344,1025,149,167,0.2512783053323594,0.9520986954055587,0.8907057070820094,3.544698002893229,0.87232978981623,30,215,25,0.8958333333333334,0.625,263,59,0.8167701863354038,0.7645348837209303,310,159,0.6609808102345416,0.9011627906976745
Kd_Ki,REFRESH_COVERED,graph_ranker,old_drug_leakage_safe_score_v10,1369,344,1025,149,167,0.2512783053323594,0.8536897334089619,0.6822869589451557,2.715264089523018,0.7220774844028964,30,122,44,0.7349397590361446,0.3546511627906977,164,81,0.6693877551020408,0.47674418604651164,219,143,0.6049723756906077,0.6366279069767442
Kd_Ki,REFRESH_COVERED,DTIAM_comparator,dtiam_probability,1369,344,1025,149,167,0.2512783053323594,0.6490470788428815,0.4142692864484262,1.6486472475229519,0.7259007038633231,30,90,28,0.7627118644067796,0.2616279069767442,119,57,0.6761363636363636,0.34593023255813954,172,159,0.5196374622356495,0.5
Kd_Ki,REFRESH_ABSENT_CHEMBL37,SPR_current,independent_validation_rank_score,320,74,246,45,103,0.23125,0.7219292463194903,0.5058059333101209,2.1872689008005226,0.8045878136200717,10,13,7,0.65,0.17567567567567569,21,11,0.65625,0.28378378378378377,40,40,0.5,0.5405405405405406
Kd_Ki,REFRESH_ABSENT_CHEMBL37,contract_primary,biomaster_independent_borda_score,320,74,246,45,103,0.23125,0.733300373544276,0.5190909904867694,2.2447177966995433,0.7207277265745008,10,16,5,0.7619047619047619,0.21621621621621623,25,14,0.6410256410256411,0.33783783783783783,40,41,0.49382716049382713,0.5405405405405406
Kd_Ki,REFRESH_ABSENT_CHEMBL37,neural_full_fit,ensemble_drug_to_target_logit,320,74,246,45,103,0.23125,0.8543726653482752,0.6791789742783509,2.9369901590415175,0.8541525857654889,10,23,6,0.7931034482758621,0.3108108108108108,36,13,0.7346938775510204,0.4864864864864865,57,47,0.5480769230769231,0.7702702702702703
Kd_Ki,REFRESH_ABSENT_CHEMBL37,graph_ranker,old_drug_leakage_safe_score_v10,320,74,246,45,103,0.23125,0.6493078444297956,0.37568048739933035,1.624564269834942,0.5115079365079365,10,10,14,0.4166666666666667,0.13513513513513514,17,21,0.4473684210526316,0.22972972972972974,27,41,0.39705882352941174,0.36486486486486486
Kd_Ki,REFRESH_ABSENT_CHEMBL37,DTIAM_comparator,dtiam_probability,320,74,246,45,103,0.23125,0.6498571742474181,0.35827812362692396,1.5493108048731847,0.5925243215565796,10,15,7,0.6818181818181818,0.20270270270270271,21,14,0.6,0.28378378378378377,33,34,0.4925373134328358,0.44594594594594594
