model,target_id,requested_drugs,reused_scored_drugs,missing_scores,next_action
ConPLex,CHEMBL2252,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2273,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2276,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL228,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2285,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2292,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL230,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2311236,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2321613,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2321614,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2321615,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2326,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2331041,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2331042,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2331059,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2331065,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2337,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2346492,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL235,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2362986,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2362990,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2362992,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364155,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364156,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364157,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364158,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364159,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364160,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364161,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364162,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364163,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2364164,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL238,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2384897,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL239,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL240,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2409,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL241,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL242,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2431,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2435,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2439,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL244,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2476,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL248,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2487,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2492,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2508,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2524,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2527,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2534,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL258,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2599,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL260,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2608,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL261,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL262,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2633,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2637,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL267,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL268,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2689,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2695,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2706,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2708,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2722,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2742,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2754,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2755,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2778,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL278,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2782,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL279,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL280,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2808,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2815,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2820,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2821,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL283,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2835,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
